epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6502296328544617,0.7926497459411621,0.001,0.7135768532752991,0.6033948659896851
1,0.7114953994750977,0.6421098709106445,0.001,0.7480680346488953,0.5417450070381165
2,0.731429398059845,0.5978577136993408,0.001,0.7689741849899292,0.48582398891448975
3,0.7438863515853882,0.567486047744751,0.001,0.7780037522315979,0.46704694628715515
4,0.7487944960594177,0.5534934401512146,0.001,0.7860571146011353,0.45858344435691833
5,0.7564724683761597,0.5372240543365479,0.001,0.7688928842544556,0.4522135257720947
6,0.76069176197052,0.52820885181427,0.001,0.77393639087677,0.449405312538147
7,0.7620407342910767,0.51560378074646,0.001,0.7900431156158447,0.43558767437934875
8,0.7647531628608704,0.5093191266059875,0.001,0.7618156671524048,0.4404797852039337
9,0.7714982628822327,0.5010957717895508,0.001,0.7858130931854248,0.4316418468952179
